34,3,33880.275,550.719,-1,13806.936,22089.4128,3,79000,6,110.33333333
53,3,33880.275,550.719,-1,18639.3636,29820.70728,3,250000,6,130
27,3,42751.8,514.917,-1,17100.72,27357.7824,2,-6,4,59
40,3,42751.8,436.995,-1,14963.13,23938.0596,1,-6,3,47.5
42,3,42751.8,691.821,-1,21375.9,34197.228,3,-6,7,167.75
33,4,33453.81,508.599,-1,11986.7202,19171.971,2,-6,4,29.25
76,4,33453.81,697.086,-1,13699.1088,21910.824,3,93000,5,79.25
23,2,38341.836,428.571,-1,17157.1608,27452.9736,2,-6,4,12
43,3,33880.275,550.719,-1,15532.803,24850.5894,3,160000,5,160
59,2,44635.617,706.563,-1,15622.8345,25006.1175,4,220000,8,187.33333333
35,3,33880.275,419.094,-1,12081.069,19328.2362,2,-6,4,62.166666667
41,2,45173.7,670.761,-1,22586.85,36117.9,3,132000,7,187.33333333
52,4,36872.901,498.069,-1,15128.6616,24121.2816,2,195000,5,93.833333333
52,2,46538.388,542.295,-1,18618.7248,29667.6432,2,300000,6,156.83333333
-9,3,40190.904,461.214,-1,14434.6293,23093.343,1,-6,3,31
31,3,40190.904,776.061,-1,18558.8091,29691.441,3,70000,7,222.5
23,3,33880.275,550.719,-1,12081.069,19328.2362,3,-6,5,97
69,3,42751.8,514.917,-1,17100.72,27357.7824,2,180000,8,160
-9,3,51281.1,530.712,-1,17948.385,28710.045,1,-6,3,0
62,3,40190.904,776.061,-1,16496.7192,26392.392,3,170000,8,184
86,2,44635.617,374.868,-1,15622.8345,25006.1175,1,-6,3,0
34,2,44635.617,643.383,-1,22318.335,35723.025,3,150000,7,274
44,2,44635.617,706.563,-1,22318.335,35723.025,4,110000,8,115
15,1,54334.8,1288.49292,-1,27167.4,42330.6,5,350000,10,233.16666667
74,4,50968.359,652.86,-1,21477.8304,32113.9728,1,140000,6,106.33333333
39,4,50114.376,832.923,-1,17540.0316,27350.0955,3,117000,6,77
48,4,57072.6,1148.52816,-1,28536.3,42330.6,5,350000,10,106.58333333
55,3,41686.164,707.616,-1,16687.944,26699.0256,3,300000,7,293.66666667
43,1,49667.904,873.99,-1,25203.555,37834.29,3,150000,8,263.58333333
57,2,46753.2,559.143,-1,23376.6,37381.5,2,85000,4,203
44,2,46538.388,771.849,-1,25135.27848,40051.31832,4,140000,9,248.41666667
-9,3,40190.904,461.214,-1,14434.6293,23093.343,1,-6,3,0
72,3,33880.275,550.719,-1,12081.069,19328.2362,3,90000,8,86
39,2,44635.617,643.383,-1,20086.5015,32150.7225,3,88000,6,175
49,2,46538.388,771.849,-1,23273.406,37084.554,4,200000,9,205.66666667
44,2,38703.015,638.20224,-1,13670.9937,21874.1796,5,-6,7,0
44,2,38703.015,422.253,-1,17576.9919,28123.9452,2,-6,4,0
60,3,39276.9,713.17584,-1,15710.76,25145.64,6,300000,12,232
27,2,47164.923,537.03,-1,16489.6641,26277.615,2,-6,4,72.25
45,2,44635.617,643.383,-1,17854.668,28578.42,3,97000,6,92
48,2,44635.617,643.383,-1,22318.335,35723.025,3,180000,7,117
21,2,44635.617,479.115,-1,17854.668,28578.42,2,-6,4,86
40,2,38341.836,673.45668,-1,15250.8096,24402.6432,5,135000,9,120
88,3,49903.776,489.645,-1,17474.4297,26000.4654,1,-6,3,0
44,2,38341.836,558.09,-1,20588.59296,32943.56832,3,225,9,233
27,3,45489.6,656.019,-1,18195.84,29104.92,2,-6,4,38
50,2,38341.836,639.171,-1,15250.8096,24402.6432,4,170000,6,136
38,3,45489.6,656.019,-1,20470.32,32743.035,2,59000,4,168
44,3,40190.904,461.214,-1,14434.6293,23093.343,1,-6,3,46
66,3,42014.7,466.479,-1,14705.145,23513.49,1,-6,4,0
51,3,42014.7,771.849,-1,21007.35,33590.7,3,-6,5,172
-9,3,33613.866,414.882,-1,12070.7496,19310.5458,2,-6,4,0
61,2,47174.4,684.45,-1,18869.76,30200.04,3,280000,9,218
37,1,40077.18,713.934,-1,16498.404,26166.6288,3,240000,7,127.66666667
60,4,41899.923,865.43964,-1,16857.2664,26965.224,5,220000,10,196.66666667
37,1,52544.7,856.089,-1,28374.138,45375.876,3,85000,7,161
